year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,RT,3,UI Castle CLP,100,148,38,80,138.5208,53.8,7,9
2015,RT,3,UI Magic CLP,100,143,34,50,135.1812,55.8,7,10
2015,RT,3,Mary,100,143,35,0,154.2024,55.8,7,11
2015,RT,3,OR2100940,100,143,36,0,141.8604,52.2,7,12
2015,RT,3,LCS Drive,100,142,33,0,122.1132,47.6,7,13
2015,RT,3,Norwest Duet,100,148,45,0,105.5604,48.8,7,14
2015,RT,3,WB1529,100,142,36,0,135.3264,58.6,8,1
2015,RT,3,LOR-913,100,141,38,0,148.3944,55.5,8,2
2015,RT,3,Bobtail,100,148,38,2,166.6896,55.5,8,3
2015,RT,3,OR2090473,100,146,38,0,152.0244,56.4,8,4
2015,RT,3,SY  Ovation,100,143,39,0,150.4272,57.8,8,5
2015,RT,3,SY Assure,100,133,30,0,138.0852,56.4,8,6
2015,RT,3,LOR-978,100,146,39,0,134.1648,56.7,8,7
2015,RT,3,WB 528,100,140,40,0,147.378,57.8,8,8
2015,RT,3,UI Sparrow,100,147,41,0,159.2844,56.7,8,9
2015,RT,3,IDO1004,100,141,36,0,120.8064,55.5,8,10
2015,RT,3,OR2080637,100,147,38,5,140.5536,54.1,8,11
2015,RT,3,Brundage,100,141,38,0,161.4624,59.2,8,12
2015,RT,3,LCS Artdeco,100,141,34,0,175.8372,54.1,8,13
2015,RT,3,Norwest Tandem,100,145,35,0,133.4388,56.4,8,14
2015,RT,3,Madsen,100,148,39,0,113.1108,56.4,9,1
2015,RT,3,06-03303B,100,144,39,0,152.8956,57.2,9,2
2015,RT,3,LCS Biancor,100,143,35,0,158.7036,56.4,9,3
2015,RT,3,Bruneau,100,143,34,0,.,55.3,9,4
2015,RT,3,Kaseberg,100,145,39,0,155.9448,55.3,9,5
2015,RT,3,DAS003,100,148,40,0,142.4412,56.4,9,6
2015,RT,3,OR2080641,100,145,37,0,144.474,56.4,9,7
2015,RT,3,IDO1005,100,148,42,0,140.118,57.5,9,8
2015,RT,3,Jasper,100,147,40,0,148.5396,57.2,9,9
2015,RT,3,IDN-02-29001A,100,146,39,0,114.8532,57.8,9,10
2015,RT,3,LOR-833,100,136,35,0,139.6824,55.3,9,11
2015,RT,3,WB 456,100,137,32,0,136.6332,57.2,9,12
2015,RT,3,UI-WSU Huffman,100,149,40,2,133.4388,53.8,9,13
2015,RT,3,Madsen / Eltan (50/50),100,148,39,0,118.1928,53,9,14
2015,RT,4,SY Assure,100,133,36,0,139.392,57,10,1
2015,RT,4,Norwest Duet,100,148,44,0,137.6496,57.2,10,2
2015,RT,4,WB 456,100,136,36,0,140.9892,58.9,10,3
2015,RT,4,Bruneau,100,148,41,0,147.8136,57.2,10,4
2015,RT,4,DAS003,100,149,40,0,134.0196,56.4,10,5
2015,RT,4,IDO1005,100,148,38,0,136.6332,57.5,10,6
2015,RT,4,Mary,100,143,34,0,149.9916,58.1,10,7
2015,RT,4,WB1376 CLP,100,142,36,0,137.3592,60.1,10,8
