site,block,variety,yield
site_3,4,variety_31,1102.545619
site_5,2,variety_38,1104.864724
site_3,4,variety_3,1106.600713
site_3,4,variety_36,1106.632148
site_5,2,variety_21,1109.186229
site_9,1,variety_18,1111.728291
site_3,2,variety_36,1112.353289
site_3,1,variety_6,1115.622513
site_9,4,variety_9,1115.795589
site_8,3,variety_2,1117.88926
site_5,1,variety_38,1119.26974
site_8,2,variety_2,1119.389782
site_3,2,variety_35,1122.16096
site_3,3,variety_6,1122.16096
site_2,1,variety_35,1122.57442
site_4,2,variety_3,1122.57442
site_5,2,variety_1,1123.591245
site_3,4,variety_11,1124.329964
site_3,3,variety_4,1130.334018
site_9,3,variety_4,1130.709018
site_8,4,variety_2,1132.894484
site_9,1,variety_31,1133.42055
site_9,1,variety_7,1133.42055
site_3,1,variety_21,1133.603242
site_5,1,variety_1,1135.115258
site_3,2,variety_13,1136.05516
site_3,3,variety_11,1138.507077
site_3,3,variety_31,1138.507077
site_3,4,variety_15,1139.104339
site_9,4,variety_30,1142.910913
site_3,3,variety_24,1144.228218
site_3,2,variety_26,1145.045524
site_5,4,variety_2,1145.198769
site_9,2,variety_36,1146.978212
site_3,1,variety_9,1148.314748
site_9,2,variety_18,1151.045511
site_8,1,variety_22,1156.902844
site_9,2,variety_25,1157.824342
site_8,4,variety_36,1161.404412
site_3,4,variety_25,1162.208947
site_9,1,variety_7,1163.247407
site_5,2,variety_2,1163.92529
site_3,4,variety_14,1167.112783
site_3,1,variety_7,1169.5647
site_2,2,variety_38,1171.382004
site_3,4,variety_8,1176.103147
site_9,4,variety_28,1178.160835
site_9,2,variety_6,1184.939666
site_9,1,variety_17,1186.295432
site_2,3,variety_2,1187.651198
site_9,2,variety_11,1189.006965
site_9,2,variety_16,1189.006965
site_9,2,variety_30,1190.362731
site_9,2,variety_31,1190.362731
site_8,2,variety_38,1191.414862
site_9,1,variety_27,1191.718497
site_8,1,variety_23,1192.915384
site_3,4,variety_34,1194.901182
site_5,4,variety_35,1195.616325
site_3,1,variety_4,1196.535794
site_3,4,variety_13,1196.724403
site_5,4,variety_4,1201.378331
site_3,1,variety_15,1207.16077
site_1,2,variety_3,1207.987691
site_3,1,variety_14,1208.795382
site_9,4,variety_26,1209.343458
site_5,4,variety_22,1211.461842
site_9,4,variety_14,1213.410756
site_8,4,variety_1,1213.922699
site_8,2,variety_23,1213.922699
site_4,1,variety_23,1217.478055
site_5,3,variety_1,1220.104852
site_5,4,variety_1,1221.545354
site_5,3,variety_38,1225.866858
site_8,3,variety_3,1227.427402
site_9,3,variety_5,1228.324185
site_9,3,variety_7,1232.391483
site_2,1,variety_38,1235.103016
site_1,4,variety_1,1236.458782
site_3,1,variety_12,1239.035699
